gene,median_effect,mean_effect,min_effect,max_effect,q25_effect,q75_effect,frac_dep_lt_minus05,frac_dep_lt_minus03,n_cell_lines,is_strongly_essential,dep_prob_median,dep_prob_mean,frac_prob_gt_05,aml_mean_tpm_log1p,aml_median_tpm_log1p,rank_score,is_known_aml_target
DPH5,-0.18925122916698456,-0.2322091907262802,-0.857061505317688,0.1314799189567566,-0.3206484168767929,-0.12543272227048874,0.11627906976744186,0.2558139534883721,43,False,0.10132252424955368,0.2156025916337967,0.11627906976744186,5.695600986480713,5.6130170822143555,0.17187925571965618,False
CXCL1,-0.22064152359962463,-0.2056756317615509,-0.5413448214530945,0.17196394503116608,-0.32108360528945923,-0.120505440980196,0.023255813953488372,0.3023255813953488,43,False,0.15718260407447815,0.18483787775039673,0.046511627906976744,0.9877778887748718,0.4006015658378601,0.17141673031241397,False
SV2A,-0.22999317944049835,-0.23646876215934753,-0.6049971580505371,0.07582678645849228,-0.2987446039915085,-0.15005596727132797,0.046511627906976744,0.2558139534883721,43,False,0.13786856830120087,0.18342165648937225,0.06976744186046512,2.437134265899658,1.9855976104736328,0.17090040767608689,False
CCND1,-0.16837352514266968,-0.21631957590579987,-1.422252893447876,0.1763765662908554,-0.3049933612346649,-0.0006704926490783691,0.13953488372093023,0.2558139534883721,43,False,0.08679979294538498,0.21153609454631805,0.16279069767441862,2.1125152111053467,1.4689552783966064,0.16905264516555987,False
PTPRU,-0.19612880051136017,-0.20046991109848022,-0.8367296457290649,0.41561225056648254,-0.3230162709951401,-0.07596620544791222,0.06976744186046512,0.27906976744186046,43,False,0.12031112611293793,0.1904735118150711,0.06976744186046512,1.395072340965271,0.8018398284912109,0.1672268188623495,False
KISS1,-0.20847520232200623,-0.23271852731704712,-0.6041427254676819,0.04226774349808693,-0.30456559360027313,-0.14812643080949783,0.046511627906976744,0.27906976744186046,43,False,0.1381225734949112,0.18047823011875153,0.046511627906976744,0.07138828188180923,0.0,0.16696978013875874,False
DAP,-0.2151288241147995,-0.2162797451019287,-0.4472646117210388,0.2992178201675415,-0.3205016106367111,-0.1456349566578865,0.0,0.32558139534883723,43,False,0.15721678733825684,0.1659465730190277,0.0,6.153484344482422,6.058675765991211,0.16688948744951293,False
SMAGP,-0.22636660933494568,-0.22856898605823517,-0.5188421010971069,0.042099252343177795,-0.3017479181289673,-0.14761658012866974,0.024390243902439025,0.2682926829268293,41,False,0.15089458227157593,0.1746157854795456,0.04878048780487805,2.8176188468933105,2.6662707328796387,0.16661171171723346,False
PDZK1IP1,-0.20905134081840515,-0.22287973761558533,-0.5603582859039307,0.1284508854150772,-0.3420862704515457,-0.09662189707159996,0.023255813953488372,0.3023255813953488,43,False,0.15052661299705505,0.17417271435260773,0.023255813953488372,0.6694827079772949,0.204427108168602,0.16611505809218385,False
FOSL1,-0.21419186890125275,-0.2252308577299118,-0.6059543490409851,0.1473548710346222,-0.3049210011959076,-0.14830457419157028,0.046511627906976744,0.2558139534883721,43,False,0.15157590806484222,0.18527433276176453,0.046511627906976744,3.259648561477661,3.254291296005249,0.16595061743675277,False
S100A14,-0.2255740910768509,-0.24373480677604675,-0.46294263005256653,-0.056227732449769974,-0.31800760328769684,-0.1623416170477867,0.0,0.3023255813953488,43,False,0.14900563657283783,0.19296087324619293,0.046511627906976744,0.500369131565094,0.4248555898666382,0.16559531636709393,False
TNS2,-0.22049574553966522,-0.21689827740192413,-0.5995455980300903,0.16561506688594818,-0.31141774356365204,-0.14748602360486984,0.023255813953488372,0.27906976744186046,43,False,0.1357279121875763,0.1685512363910675,0.06976744186046512,0.7160817384719849,0.6269757747650146,0.16456178710904232,False
SPAG4,-0.23069854080677032,-0.21395842730998993,-0.5353244543075562,0.2250765860080719,-0.2789822369813919,-0.13076568394899368,0.023255813953488372,0.20930232558139536,43,False,0.1295543909072876,0.16231495141983032,0.0,1.6818958520889282,1.4806907176971436,0.1540720647157625,False
ENDOG,-0.18835152685642242,-0.201552152633667,-0.9132423400878906,0.15246666967868805,-0.2957080006599426,-0.06297001987695694,0.06976744186046512,0.23255813953488372,43,False,0.10420574992895126,0.18511292338371277,0.13953488372093023,3.9268698692321777,3.9792232513427734,0.15320304620058037,False
CDKN2AIPNL,-0.19031363725662231,-0.1388423591852188,-0.569631040096283,0.6467125415802002,-0.3411644697189331,0.03702986892312765,0.023255813953488372,0.3023255813953488,43,False,0.09500444680452347,0.16668806970119476,0.046511627906976744,4.978799819946289,5.005908012390137,0.1530677600482176,False
BNIP3,-0.20243696868419647,-0.20494914054870605,-0.6918949484825134,0.09797906875610352,-0.2843582332134247,-0.08826930448412895,0.046511627906976744,0.20930232558139536,43,False,0.1363677978515625,0.17385952174663544,0.06976744186046512,3.9918410778045654,4.140567779541016,0.15042552074720694,False
STXBP1,-0.22027643024921417,-0.18949441611766815,-0.46648651361465454,0.152052104473114,-0.29748016595840454,-0.09103931859135628,0.0,0.23255813953488372,43,False,0.15556514263153076,0.16037292778491974,0.0,2.5654854774475098,2.567659854888916,0.1501787142698155,False
DNAJC22,-0.22158566117286682,-0.20964308083057404,-0.3835705816745758,0.08488576859235764,-0.2870481163263321,-0.13120358809828758,0.0,0.23255813953488372,43,False,0.13552726805210114,0.15136972069740295,0.0,0.35283875465393066,0.15684384107589722,0.1486986191813336,False
AK4,-0.1927386224269867,-0.19327837228775024,-0.6721064448356628,0.46646687388420105,-0.2844039797782898,-0.12823273241519928,0.046511627906976744,0.23255813953488372,43,False,0.109806127846241,0.16560252010822296,0.06976744186046512,4.120083808898926,4.321655750274658,0.14854117803448852,False
SCRN2,-0.20938222110271454,-0.19578798115253448,-0.4377252459526062,0.16827310621738434,-0.2899419069290161,-0.1061675027012825,0.0,0.2558139534883721,43,False,0.12960439920425415,0.1523653119802475,0.023255813953488372,4.633730411529541,4.659188747406006,0.14787611905918566,False
