pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
Toxoplasmosis - Homo sapiens (human),path:hsa05145,15,112,2.811,0.0007771158870986352,0.0022365774311619256,False,"AK1, AK4, BAD, C3, CISH, DAP, F12, F3, ID1, LAMA5"
Virion - Hepatitis viruses - Homo sapiens (human),path:hsa03272,9,48,4.182,0.0007836208543884248,0.0022371111488185677,False,"C3, CLDN12, CLDN15, CLDN3, CLDN4, DPP4, EGFR, EPCAM, F12"
PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),path:hsa05235,13,90,3.066,0.0008352779562650662,0.0023655071721426675,True,"AK1, C3, CKB, DAP, EGFR, F3, ICAM1, ID1, MET, MYC"
Phospholipase D signaling pathway - Homo sapiens (human),path:hsa04072,18,149,2.5,0.0008541463068342363,0.002399744385867616,True,"ADK, AGT, C3, CAMP, DAP, EGFR, F3, GPAT4, MET, MYC"
cAMP signaling pathway - Homo sapiens (human),path:hsa04024,24,226,2.167,0.0008663444218661046,0.0024148498058315037,True,"AK1, BAD, C1R, C3, CAMP, CAP2, CAV1, CREB3L1, CREB3L4, DAP"
Cocaine addiction - Homo sapiens (human),path:hsa05030,9,49,4.078,0.0009157833105652049,0.002532713218281895,False,"CAMP, CREB3L1, CREB3L4, F3, GPSM1, ID1, MAOA, MET, PAM"
Glycerophospholipid metabolism - Homo sapiens (human),path:hsa00564,14,103,2.857,0.0009917682891359887,0.00272159670041969,False,"C3, CDS1, CKB, CPD, DAP, ETNK2, GPAT4, LPCAT1, MBOAT2, MET"
Adipocytokine signaling pathway - Homo sapiens (human),path:hsa04920,11,70,3.382,0.0010135997517706004,0.0027601100932830194,True,"C3, CISH, DAP, F12, F3, ID1, MET, MYC, PAM, PPL"
Drug metabolism - other enzymes - Homo sapiens (human),path:hsa00983,12,81,3.156,0.0010416203239648663,0.0028147602647600207,False,"C3, CDA, F3, GSTO2, GSTT2B, IMPDH2, MET, MGST1, NME2, NME4"
Viral carcinogenesis - Homo sapiens (human),path:hsa05203,22,205,2.19,0.0012159403045551573,0.003260930816761558,False,"AK1, BAD, C3, CAMP, CAP2, CCND1, CDA, CDKN2A, CREB3L1, CREB3L4"
Sulfur metabolism - Homo sapiens (human),path:hsa00920,4,10,12.044,0.0012404763573458908,0.003301719026319138,False,"MET, MPST, SELENBP1, TST"
Oxytocin signaling pathway - Homo sapiens (human),path:hsa04921,18,155,2.39,0.0013511991534519822,0.00356958582329852,True,"C1S, C3, CACNA2D2, CAMK1D, CAMP, CAP2, CAV1, CCND1, DAP, EGFR"
Tryptophan metabolism - Homo sapiens (human),path:hsa00380,8,42,4.261,0.001366884071014954,0.0035842737862169906,False,"ALDH7A1, BAD, C3, CYP1B1, DHTKD1, MAOA, MET, THRA"
Notch signaling pathway - Homo sapiens (human),path:hsa04330,10,62,3.486,0.001383376925866564,0.003599412234899544,True,"C3, CD33, DAP, DTX2, MET, NUMBL, SHE, TARS, TLE2, TLE6"
Rheumatoid arthritis - Homo sapiens (human),path:hsa05323,13,95,2.878,0.0013929928705684676,0.003599412234899544,False,"C3, CKB, CSF1, CSF2, CXCL1, CXCL2, EGFR, F3, ICAM1, IL6"
Taurine and hypotaurine metabolism - Homo sapiens (human),path:hsa00430,5,17,7.533,0.001454636784054716,0.0037314595764881844,False,"FMO5, GGT1, GGT5, GGT7, MET"
Autophagy - animal - Homo sapiens (human),path:hsa04140,19,169,2.305,0.0014825768143732958,0.003775771167540624,False,"AK1, AK4, ATG10, BAD, BNIP3, C3, CAMP, DAP, F12, F3"
Herpes simplex virus 1 infection - Homo sapiens (human),path:hsa05168,20,183,2.233,0.0015947623251437505,0.0040324704507206256,False,"AK1, AK4, BAD, C3, CDA, CISH, DAP, EIF2AK1, F3, HLA-G"
Biosynthesis of amino acids - Homo sapiens (human),path:hsa01230,11,75,3.117,0.0018072279697726851,0.00453729575389738,False,"ALDOC, ASNS, ASS1, BCAM, GOT1, MET, PFKM, PFKP, PSAT1, PSPH"
